Feature,Importance
volume_nvi,0.030541076649536467
volume_vpt,0.023777864262637637
vma_120,0.022827453546021316
ma_60,0.020153414068713772
volume_obv,0.01951503161535293
trend_visual_ichimoku_a,0.01906681763493893
ma_120,0.018975863371845973
vma_60,0.017801818827797463
volume_adi,0.014092266259329975
p_ma_dist_20_120,0.013820262870861945
trend_visual_ichimoku_b,0.013473337231848974
p_ma_dist_60_120,0.013038741022297504
trend_ichimoku_a,0.013019233953501711
trend_sma_slow,0.012577760379543099
volatility_dcl,0.012237509809104503
trend_ichimoku_b,0.01208646774097689
vma_20,0.01179047172546602
others_cr,0.011439556620715552
p_ma_dist_10_120,0.011003425126207014
trend_ema_slow,0.010909071519888578
volatility_dcm,0.010827601264353788
p_ma_grad_120,0.010458435900623701
volatility_dcw,0.009952630840748912
volatility_bbh,0.009876912392063671
volatility_dch,0.009769659254796033
volatility_kcw,0.00964897544630574
trend_sma_fast,0.009534421144780184
p_disp_120,0.009407813303025212
volatility_atr,0.009302823149711138
trend_adx,0.00915935464961359
