Feature,Importance
p_ma_dist_20_120,0.14913277160714422
volume_obv,0.1219599370036047
p_ma_dist_60_120,0.12080777501506351
roc_68,0.06806450770813277
volume_adi,0.0542569689839095
p_ma_dist_20_60,0.04239980103506192
p_ma_grad_120,0.04232242110865547
volume_vpt,0.039801060035263805
trend_adx,0.030903431370733096
volume_mfi,0.02912973041846014
volume_cmf,0.026738304261894264
trend_mass_index,0.024042103302411962
trend_stc,0.022208237963349014
momentum_pvo,0.021508208498414675
bb_width_20,0.020730203105217247
volatility_dcw,0.020576030080046062
volatility_ui,0.019605253140277657
momentum_pvo_signal,0.019570648908319596
volatility_kcw,0.019436070221205946
volatility_bbw,0.019042248833052052
