Feature,Importance
p_ma_dist_60_120,0.18359758165968973
p_ma_dist_20_120,0.0597542127365288
p_ma_grad_120,0.054069520552637786
roc_68,0.05079083122415232
volume_obv,0.04569684283829299
volume_cmf,0.0447887917418821
volume_mfi,0.04147938771450744
volatility_dcw,0.039163726187421505
p_ma_dist_20_60,0.037685628282324836
bb_width_20,0.03399768392794811
trend_stc,0.03336819587791837
volatility_ui,0.032799815751907394
trend_adx,0.032396749726841936
volume_nvi,0.03223455708648652
volatility_bbw,0.03211496771294023
trend_mass_index,0.0315695455446271
atr_14,0.025765447382171243
momentum_pvo,0.025400946749285218
momentum_pvo_signal,0.025256317975876658
volatility_atr,0.024464975491346064
