Feature,Importance
p_ma_dist_60_120,0.06610525802776032
volume_nvi,0.06504691146875277
atr_14,0.06472652373300596
volatility_atr,0.06227493575038024
p_ma_grad_120,0.05842267851736407
volatility_kcw,0.044504879217535265
momentum_pvo_signal,0.04002447369039246
trend_stc,0.039798471613512125
p_ma_dist_20_60,0.03824034815290338
trend_mass_index,0.03820509028238769
trend_adx,0.03633072433298003
roc_68,0.03603695646653787
volume_mfi,0.03556554561383409
p_ma_dist_20_120,0.03459719409161526
momentum_pvo,0.03362060964260509
volatility_dcw,0.03330299922772804
volatility_ui,0.03309181451048662
volume_adi,0.03259427284954844
bb_width_20,0.0321547721479313
volatility_bbw,0.031153014138093002
