Feature,Importance
volume_nvi,0.1404116494653998
volume_adi,0.07901973268924256
trend_visual_ichimoku_b,0.05948672616859795
momentum_pvo_signal,0.052395606747734316
volatility_dcw,0.04236139787047407
momentum_pvo,0.038992503804955114
volatility_atr,0.038554715161308616
trend_adx,0.03650515818024231
p_ma_dist_60_120,0.0359350268716368
volatility_kcw,0.03505801288261177
volume_cmf,0.03488611805267806
trend_mass_index,0.0348698020986825
volatility_ui,0.031963934723278443
trend_stc,0.03078228818447852
volatility_bbw,0.03050850171346844
atr_14,0.029749732633306804
others_cr,0.029559869190412022
bb_width_20,0.028663892022225138
volume_mfi,0.02619193171822407
volatility_bbl,0.02534046625659262
