Feature,Importance
volume_vpt,0.05863815667643757
volume_obv,0.057127079708366967
volatility_bbw,0.055288168943663514
bb_width_20,0.05378769968850441
trend_mass_index,0.052418111982529166
volatility_dcw,0.04546274568084159
volume_mfi,0.041092981411717903
atr_14,0.04058851926491678
volatility_bbl,0.03942305096017806
trend_adx,0.03908412311131766
momentum_pvo_signal,0.03874848830349738
trend_stc,0.03767279609109098
volatility_ui,0.037666783407606784
others_cr,0.036310896110920116
p_ma_dist_20_60,0.03392586663620071
trend_visual_ichimoku_b,0.03330491305304431
volume_cmf,0.03265817746808924
momentum_pvo,0.030341955540505988
volatility_atr,0.029722841618737905
roc_68,0.02877732761521575
