Market,Regime,Trend,Model,Strategy Return (%),B&H Return (%),Max DD (%),Final $,Long (%),Short (%),Turnover,Tie Warning
US,SMA200,Overall,LSTM,-7.16,27.75,-25.16,9284.38,26.9,73.1,13.0,
US,,Uptrend,LSTM,-14.6,14.6,-25.01,8539.78,,,,
US,,Downtrend,LSTM,11.47,11.47,-10.51,11147.41,,,,
US,SMA200,Overall,CNN,30.5,27.75,-14.06,13050.09,96.6,0.0,1.0,
US,,Uptrend,CNN,17.19,14.6,-12.92,11718.55,,,,
US,,Downtrend,CNN,11.47,11.47,-10.51,11147.41,,,,
US,SMA200,Overall,MLP,-28.6,27.75,-31.69,7140.29,37.5,59.1,4.0,
US,,Uptrend,MLP,-32.67,14.6,-34.7,6733.36,,,,
US,,Downtrend,MLP,6.79,11.47,-10.51,10678.9,,,,
US,SMA200,Overall,Transformer,30.5,27.75,-14.06,13050.09,96.6,0.0,1.0,
US,,Uptrend,Transformer,17.19,14.6,-12.92,11718.55,,,,
US,,Downtrend,Transformer,11.47,11.47,-10.51,11147.41,,,,
US,SMA200,Overall,RandomForest,28.57,27.75,-14.06,12856.99,97.2,0.0,1.0,
US,,Uptrend,RandomForest,15.45,14.6,-12.92,11545.15,,,,
US,,Downtrend,RandomForest,11.47,11.47,-10.51,11147.41,,,,
US,SMA200,Overall,SVM,-12.43,27.75,-23.04,8757.36,31.2,65.4,4.0,
US,,Uptrend,SVM,-20.89,14.6,-23.28,7911.19,,,,
US,,Downtrend,SVM,11.47,11.47,-10.51,11147.41,,,,
US,SMA200,Overall,XGBoost,30.5,27.75,-14.06,13050.09,96.6,0.0,1.0,
US,,Uptrend,XGBoost,17.19,14.6,-12.92,11718.55,,,,
US,,Downtrend,XGBoost,11.47,11.47,-10.51,11147.41,,,,
US,GMM,Overall,LSTM,-18.5,27.75,-35.74,8149.52,10.2,89.8,5.0,
US,,Uptrend,LSTM,-14.07,33.49,-34.29,8592.72,,,,
US,,Downtrend,LSTM,-4.3,-4.3,-3.17,9570.04,,,,
US,GMM,Overall,CNN,35.52,27.75,-13.31,13551.93,91.7,0.0,1.0,
US,,Uptrend,CNN,41.75,33.49,-13.31,14174.97,,,,
US,,Downtrend,CNN,-4.3,-4.3,-3.17,9570.04,,,,
US,GMM,Overall,MLP,-22.24,27.75,-28.05,7776.3,32.7,59.0,2.0,
US,,Uptrend,MLP,-21.4,33.49,-29.18,7860.38,,,,
US,,Downtrend,MLP,-0.77,-4.3,-1.39,9922.79,,,,
US,GMM,Overall,Transformer,35.52,27.75,-13.31,13551.93,91.7,0.0,1.0,
US,,Uptrend,Transformer,41.75,33.49,-13.31,14174.97,,,,
US,,Downtrend,Transformer,-4.3,-4.3,-3.17,9570.04,,,,
US,GMM,Overall,RandomForest,28.57,27.75,-14.06,12856.99,97.2,0.0,1.0,
US,,Uptrend,RandomForest,34.48,33.49,-13.31,13448.08,,,,
US,,Downtrend,RandomForest,-4.3,-4.3,-3.17,9570.04,,,,
US,GMM,Overall,SVM,-12.29,27.75,-23.04,8770.83,26.4,65.3,4.0,
US,,Uptrend,SVM,-7.71,33.49,-23.04,9229.32,,,,
US,,Downtrend,SVM,-4.3,-4.3,-3.17,9570.04,,,,
US,GMM,Overall,XGBoost,35.52,27.75,-13.31,13551.93,91.7,0.0,1.0,
US,,Uptrend,XGBoost,41.75,33.49,-13.31,14174.97,,,,
US,,Downtrend,XGBoost,-4.3,-4.3,-3.17,9570.04,,,,
US,ADX,Overall,LSTM,17.31,27.75,-14.06,11730.74,92.6,7.4,5.0,
US,,Uptrend,LSTM,-3.42,4.23,-6.96,9657.81,,,,
US,,Downtrend,LSTM,22.56,22.56,-13.01,12256.3,,,,
US,ADX,Overall,CNN,27.62,27.75,-14.06,12762.32,100.0,0.0,1.0,
US,,Uptrend,CNN,4.23,4.23,-2.53,10423.29,,,,
US,,Downtrend,CNN,22.56,22.56,-13.01,12256.3,,,,
US,ADX,Overall,MLP,4.2,27.75,-13.01,10420.15,62.3,37.7,20.0,
US,,Uptrend,MLP,0.26,4.23,-2.96,10025.74,,,,
US,,Downtrend,MLP,8.07,22.56,-13.01,10807.17,,,,
US,ADX,Overall,Transformer,27.62,27.75,-14.06,12762.32,100.0,0.0,1.0,
US,,Uptrend,Transformer,4.23,4.23,-2.53,10423.29,,,,
US,,Downtrend,Transformer,22.56,22.56,-13.01,12256.3,,,,
US,ADX,Overall,RandomForest,27.62,27.75,-14.06,12762.32,100.0,0.0,1.0,
US,,Uptrend,RandomForest,4.23,4.23,-2.53,10423.29,,,,
US,,Downtrend,RandomForest,22.56,22.56,-13.01,12256.3,,,,
US,ADX,Overall,SVM,14.31,27.75,-14.06,11431.32,85.2,14.8,8.0,
US,,Uptrend,SVM,-5.32,4.23,-5.93,9467.99,,,,
US,,Downtrend,SVM,22.56,22.56,-13.01,12256.3,,,,
US,ADX,Overall,XGBoost,25.7,27.75,-14.06,12570.09,99.4,0.6,5.0,
US,,Uptrend,XGBoost,4.23,4.23,-2.53,10423.29,,,,
US,,Downtrend,XGBoost,21.69,22.56,-13.01,12168.75,,,,
US,HMM,Overall,LSTM,-15.77,27.75,-29.21,8423.12,10.8,89.2,5.0,
US,,Uptrend,LSTM,-13.51,29.99,-31.01,8648.53,,,,
US,,Downtrend,LSTM,-1.72,-1.72,-5.24,9827.5,,,,
US,HMM,Overall,CNN,31.2,27.75,-13.31,13120.29,91.8,0.0,1.0,
US,,Uptrend,CNN,33.64,29.99,-13.31,13363.95,,,,
US,,Downtrend,CNN,-1.72,-1.72,-5.24,9827.5,,,,
US,HMM,Overall,MLP,-24.71,27.75,-28.05,7528.62,32.9,59.0,2.0,
US,,Uptrend,MLP,-18.37,29.99,-25.64,8163.41,,,,
US,,Downtrend,MLP,-7.5,-1.72,-5.32,9250.13,,,,
US,HMM,Overall,Transformer,31.2,27.75,-13.31,13120.29,91.8,0.0,1.0,
US,,Uptrend,Transformer,33.64,29.99,-13.31,13363.95,,,,
US,,Downtrend,Transformer,-1.72,-1.72,-5.24,9827.5,,,,
US,HMM,Overall,RandomForest,28.57,27.75,-14.06,12856.99,97.2,0.0,1.0,
US,,Uptrend,RandomForest,30.96,29.99,-13.31,13095.76,,,,
US,,Downtrend,RandomForest,-1.72,-1.72,-5.24,9827.5,,,,
US,HMM,Overall,SVM,-15.09,27.75,-23.04,8491.47,26.5,65.3,4.0,
US,,Uptrend,SVM,-12.99,29.99,-23.04,8701.27,,,,
US,,Downtrend,SVM,-1.72,-1.72,-5.24,9827.5,,,,
US,HMM,Overall,XGBoost,31.2,27.75,-13.31,13120.29,91.8,0.0,1.0,
US,,Uptrend,XGBoost,33.64,29.99,-13.31,13363.95,,,,
US,,Downtrend,XGBoost,-1.72,-1.72,-5.24,9827.5,,,,
UK,SMA200,Overall,LSTM,30.49,14.2,-8.82,13048.92,29.7,67.2,31.0,
UK,,Uptrend,LSTM,20.78,-0.55,-8.8,12078.34,,,,
UK,,Downtrend,LSTM,14.84,14.84,-7.61,11483.8,,,,
UK,SMA200,Overall,CNN,14.11,14.2,-10.12,11410.7,81.2,0.0,1.0,
UK,,Uptrend,CNN,-0.54,-0.55,-12.31,9946.29,,,,
UK,,Downtrend,CNN,14.84,14.84,-7.61,11483.8,,,,
UK,SMA200,Overall,MLP,-2.76,14.2,-14.71,9724.19,67.1,14.1,6.0,
UK,,Uptrend,MLP,-7.26,-0.55,-16.17,9274.34,,,,
UK,,Downtrend,MLP,6.01,14.84,-8.21,10601.13,,,,
UK,SMA200,Overall,Transformer,14.11,14.2,-10.12,11410.7,81.2,0.0,1.0,
UK,,Uptrend,Transformer,-0.54,-0.55,-12.31,9946.29,,,,
UK,,Downtrend,Transformer,14.84,14.84,-7.61,11483.8,,,,
UK,SMA200,Overall,RandomForest,14.09,14.2,-11.86,11408.65,100.0,0.0,1.0,
UK,,Uptrend,RandomForest,-0.55,-0.55,-14.67,9944.51,,,,
UK,,Downtrend,RandomForest,14.84,14.84,-7.61,11483.8,,,,
UK,SMA200,Overall,SVM,14.09,14.2,-11.86,11408.65,100.0,0.0,1.0,
UK,,Uptrend,SVM,-0.55,-0.55,-14.67,9944.51,,,,
UK,,Downtrend,SVM,14.84,14.84,-7.61,11483.8,,,,
UK,SMA200,Overall,XGBoost,14.11,14.2,-10.12,11410.7,81.2,0.0,1.0,
UK,,Uptrend,XGBoost,-0.54,-0.55,-12.31,9946.29,,,,
