Feature,Importance
volume_nvi,0.030932091267554224
volume_obv,0.025750010497366218
vma_120,0.025340320536198824
volume_vpt,0.024571740268839147
p_ma_dist_60_120,0.021401764754280836
ma_120,0.020432253956809806
trend_visual_ichimoku_b,0.019226591742674506
vma_20,0.019160346468124322
vma_60,0.01892055431546401
volume_adi,0.015990266038109012
p_ma_dist_10_120,0.013889567192469915
p_ma_grad_120,0.013792374935180181
momentum_pvo_signal,0.013524123615102208
ma_60,0.013246588638211543
vma_5,0.013101460166606427
trend_ichimoku_b,0.012837408949553937
p_disp_120,0.012802203462238695
volatility_dch,0.012691688356842755
volatility_kcc,0.011725495330318221
trend_mass_index,0.011428279215330945
momentum_kama,0.011212003001631317
trend_ichimoku_a,0.011141422117790588
trend_ichimoku_base,0.011096412516912336
volatility_bbh,0.011073580682597874
p_ma_dist_20_120,0.010874240627983653
volatility_atr,0.010627792656869696
trend_psar_down,0.010625728445526778
trend_ema_slow,0.010556455275955137
others_cr,0.010421055029607133
p_ma_dist_5_120,0.010400502687717625
