Market,Trend,Model,Accuracy,Samples
BTC,downtrend,LSTM,56.67,460
BTC,downtrend,RandomForest,55.0,460
BTC,downtrend,XGBoost,55.0,460
BTC,downtrend,MLP,50.0,460
BTC,downtrend,CNN,45.0,460
BTC,downtrend,Transformer,43.33,460
BTC,downtrend,SVM,43.33,460
BTC,uptrend,RandomForest,64.06,776
BTC,uptrend,CNN,63.28,776
BTC,uptrend,MLP,63.28,776
BTC,uptrend,SVM,63.28,776
BTC,uptrend,XGBoost,49.22,776
BTC,uptrend,LSTM,46.09,776
BTC,uptrend,Transformer,36.72,776
Gold,downtrend,Transformer,70.17,1148
Gold,downtrend,XGBoost,57.46,1148
Gold,downtrend,RandomForest,52.49,1148
Gold,downtrend,LSTM,40.33,1148
Gold,downtrend,SVM,40.33,1148
Gold,downtrend,MLP,37.57,1148
Gold,downtrend,CNN,32.04,1148
Gold,uptrend,CNN,67.33,1117
Gold,uptrend,SVM,67.33,1117
Gold,uptrend,LSTM,64.85,1117
Gold,uptrend,MLP,64.36,1117
Gold,uptrend,Transformer,64.36,1117
Gold,uptrend,XGBoost,53.47,1117
Gold,uptrend,RandomForest,51.98,1117
Thai,downtrend,LSTM,66.0,647
Thai,downtrend,CNN,66.0,647
Thai,downtrend,MLP,66.0,647
Thai,downtrend,Transformer,66.0,647
Thai,downtrend,RandomForest,66.0,647
Thai,downtrend,XGBoost,66.0,647
Thai,downtrend,SVM,61.0,647
Thai,uptrend,MLP,67.5,969
Thai,uptrend,CNN,65.0,969
Thai,uptrend,RandomForest,56.25,969
Thai,uptrend,LSTM,52.5,969
Thai,uptrend,SVM,51.25,969
Thai,uptrend,XGBoost,50.62,969
Thai,uptrend,Transformer,38.12,969
UK,downtrend,SVM,60.07,1474
UK,downtrend,CNN,58.39,1474
UK,downtrend,MLP,58.05,1474
UK,downtrend,XGBoost,56.38,1474
UK,downtrend,RandomForest,52.35,1474
UK,downtrend,LSTM,47.99,1474
UK,downtrend,Transformer,44.3,1474
UK,uptrend,MLP,72.25,1019
UK,uptrend,Transformer,69.36,1019
UK,uptrend,LSTM,66.47,1019
UK,uptrend,SVM,63.01,1019
UK,uptrend,CNN,49.13,1019
UK,uptrend,XGBoost,34.1,1019
UK,uptrend,RandomForest,31.79,1019
US,downtrend,CNN,59.93,1466
US,downtrend,MLP,54.21,1466
US,downtrend,SVM,51.18,1466
US,downtrend,RandomForest,50.84,1466
US,downtrend,XGBoost,50.84,1466
US,downtrend,LSTM,50.17,1466
US,downtrend,Transformer,45.79,1466
US,uptrend,LSTM,80.71,1270
US,uptrend,RandomForest,77.86,1270
US,uptrend,XGBoost,42.14,1270
US,uptrend,MLP,39.29,1270
US,uptrend,Transformer,35.71,1270
US,uptrend,SVM,26.43,1270
US,uptrend,CNN,19.29,1270
