Market,Date,Price,Type,Confidence
US,2008-07-21,1260.0,DRP (Downward Reversal),0.47155795
US,2008-07-22,1277.0,URP (Upward Reversal),0.47779736
US,2008-07-29,1263.199951171875,DRP (Downward Reversal),0.46672663
US,2008-07-31,1267.3800048828125,URP (Upward Reversal),0.4429125
US,2008-08-01,1260.31005859375,DRP (Downward Reversal),0.45351997
US,2008-08-06,1289.18994140625,URP (Upward Reversal),0.4262533
US,2008-08-08,1296.3199462890625,DRP (Downward Reversal),0.40798476
US,2008-10-28,940.510009765625,URP (Upward Reversal),0.50883675
US,2008-10-30,954.0900268554688,DRP (Downward Reversal),0.544222
US,2008-11-07,930.989990234375,URP (Upward Reversal),0.54986805
US,2008-11-12,852.2999877929688,DRP (Downward Reversal),0.5466839
US,2008-11-14,873.2899780273438,URP (Upward Reversal),0.5082345
US,2008-11-18,859.1199951171875,DRP (Downward Reversal),0.5013186
US,2008-11-19,806.5800170898438,URP (Upward Reversal),0.536151
US,2008-11-21,800.030029296875,DRP (Downward Reversal),0.4998568
US,2008-12-30,890.6400146484375,URP (Upward Reversal),0.5091098
US,2008-12-31,903.25,DRP (Downward Reversal),0.5102343
US,2009-01-02,931.7999877929688,URP (Upward Reversal),0.49972916
US,2009-01-05,927.4500122070312,DRP (Downward Reversal),0.5233298
US,2009-01-07,906.6500244140624,URP (Upward Reversal),0.50007945
US,2009-03-06,683.3800048828125,DRP (Downward Reversal),0.5115087
US,2009-03-09,676.530029296875,URP (Upward Reversal),0.5001106
Gold,2018-05-18,1290.199951171875,URP (Upward Reversal),0.3710367
Gold,2018-06-11,1298.9000244140625,DRP (Downward Reversal),0.478521
Gold,2018-06-13,1296.9000244140625,URP (Upward Reversal),0.4691376
Gold,2018-06-21,1267.199951171875,DRP (Downward Reversal),0.36990997
Gold,2018-06-22,1267.4000244140625,URP (Upward Reversal),0.51435745
Gold,2018-07-06,1254.300048828125,DRP (Downward Reversal),0.45132715
Gold,2018-07-09,1258.0999755859375,URP (Upward Reversal),0.44460702
Gold,2018-07-13,1239.5999755859375,DRP (Downward Reversal),0.48287386
Gold,2018-07-19,1222.4000244140625,URP (Upward Reversal),0.50009054
Gold,2018-07-20,1229.5,DRP (Downward Reversal),0.51240385
Gold,2011-07-18,1602.0999755859375,URP (Upward Reversal),0.36272573
Gold,2011-08-24,1754.0999755859375,URP (Upward Reversal),0.3841474
Gold,2011-08-26,1794.0999755859375,URP (Upward Reversal),0.38831574
UK,2008-07-21,5404.2998046875,DRP (Downward Reversal),0.4580153
UK,2008-07-24,5362.2998046875,URP (Upward Reversal),0.47501275
UK,2008-08-12,5534.5,DRP (Downward Reversal),0.50588274
UK,2008-11-06,4272.39990234375,URP (Upward Reversal),0.5096013
UK,2008-11-27,4226.10009765625,DRP (Downward Reversal),0.5105624
UK,2008-12-29,4319.39990234375,URP (Upward Reversal),0.5111916
UK,2009-01-12,4426.2001953125,DRP (Downward Reversal),0.5185407
UK,2009-01-13,4399.2001953125,URP (Upward Reversal),0.5168976
UK,2009-01-16,4147.10009765625,DRP (Downward Reversal),0.53233075
UK,2009-01-23,4052.5,URP (Upward Reversal),0.4923065
UK,2009-01-29,4190.10009765625,DRP (Downward Reversal),0.5093806
UK,2009-02-02,4077.800048828125,URP (Upward Reversal),0.50186634
UK,2009-02-20,3889.10009765625,DRP (Downward Reversal),0.50292414
UK,2015-03-12,6761.10009765625,DRP (Downward Reversal),0.35500047
UK,2015-03-31,6773.0,DRP (Downward Reversal),0.34307572
US,2017-08-18,2425.550048828125,DRP (Downward Reversal),0.40874538
