Market,Model,Accuracy,F1_Macro,F1_Bearish,F1_Bullish
US,LSTM,47.06,0.455,0.573,0.256
US,CNN,44.29,0.444,0.424,0.374
US,MLP,45.67,0.436,0.553,0.218
US,Transformer,44.64,0.385,0.589,0.031
US,RandomForest,44.98,0.455,0.4,0.395
US,SVM,43.94,0.435,0.515,0.253
UK,LSTM,47.75,0.401,0.589,0.151
UK,CNN,44.14,0.439,0.395,0.492
UK,MLP,45.05,0.39,0.568,0.262
UK,Transformer,52.7,0.386,0.68,0.0
UK,RandomForest,34.68,0.254,0.386,0.377
UK,SVM,49.1,0.475,0.569,0.343
Thai,LSTM,56.88,0.421,0.673,0.0
Thai,CNN,51.25,0.464,0.578,0.226
Thai,MLP,56.25,0.455,0.697,0.169
Thai,Transformer,40.0,0.244,0.632,0.101
Thai,RandomForest,35.62,0.276,0.454,0.373
Thai,SVM,44.38,0.42,0.481,0.192
Gold,LSTM,15.69,0.146,0.043,0.333
Gold,CNN,24.18,0.191,0.187,0.0
Gold,MLP,27.45,0.266,0.239,0.426
Gold,Transformer,30.07,0.305,0.264,0.51
Gold,RandomForest,37.25,0.296,0.435,0.454
Gold,SVM,34.64,0.316,0.415,0.419
BTC,LSTM,45.83,0.451,0.432,0.506
BTC,CNN,31.48,0.296,0.411,0.15
BTC,MLP,23.61,0.212,0.385,0.0
BTC,Transformer,47.69,0.311,0.29,0.644
BTC,RandomForest,42.59,0.307,0.405,0.515
BTC,SVM,48.15,0.243,0.071,0.658
