Market,Trend,Model,Accuracy,Samples
BTC,downtrend,RandomForest,66.67,460
BTC,downtrend,MLP,55.0,460
BTC,downtrend,Transformer,51.67,460
BTC,downtrend,XGBoost,50.0,460
BTC,downtrend,LSTM,43.33,460
BTC,downtrend,CNN,43.33,460
BTC,downtrend,SVM,43.33,460
BTC,downtrend,Stacking,43.33,460
BTC,uptrend,LSTM,63.28,776
BTC,uptrend,Transformer,63.28,776
BTC,uptrend,SVM,63.28,776
BTC,uptrend,RandomForest,60.16,776
BTC,uptrend,CNN,53.91,776
BTC,uptrend,MLP,50.78,776
BTC,uptrend,Stacking,50.78,776
BTC,uptrend,XGBoost,48.44,776
Gold,downtrend,MLP,61.33,1148
Gold,downtrend,XGBoost,57.46,1148
Gold,downtrend,RandomForest,55.8,1148
Gold,downtrend,LSTM,41.99,1148
Gold,downtrend,CNN,40.33,1148
Gold,downtrend,SVM,40.33,1148
Gold,downtrend,Stacking,33.7,1148
Gold,downtrend,Transformer,33.15,1148
Gold,uptrend,LSTM,67.33,1117
Gold,uptrend,CNN,67.33,1117
Gold,uptrend,Transformer,67.33,1117
Gold,uptrend,SVM,67.33,1117
Gold,uptrend,Stacking,65.84,1117
Gold,uptrend,XGBoost,53.47,1117
Gold,uptrend,RandomForest,52.48,1117
Gold,uptrend,MLP,34.16,1117
Thai,downtrend,LSTM,66.0,647
Thai,downtrend,CNN,66.0,647
Thai,downtrend,Transformer,66.0,647
Thai,downtrend,RandomForest,66.0,647
Thai,downtrend,XGBoost,66.0,647
Thai,downtrend,SVM,61.0,647
Thai,downtrend,MLP,50.0,647
Thai,downtrend,Stacking,34.0,647
Thai,uptrend,CNN,64.38,969
Thai,uptrend,RandomForest,57.5,969
Thai,uptrend,XGBoost,52.5,969
Thai,uptrend,SVM,51.25,969
Thai,uptrend,LSTM,48.75,969
Thai,uptrend,MLP,48.75,969
Thai,uptrend,Transformer,43.75,969
Thai,uptrend,Stacking,38.12,969
UK,downtrend,MLP,60.07,1474
UK,downtrend,SVM,60.07,1474
UK,downtrend,Transformer,58.05,1474
UK,downtrend,CNN,57.38,1474
UK,downtrend,Stacking,56.04,1474
UK,downtrend,LSTM,55.7,1474
UK,downtrend,XGBoost,55.03,1474
UK,downtrend,RandomForest,54.7,1474
UK,uptrend,SVM,63.01,1019
UK,uptrend,CNN,57.23,1019
UK,uptrend,MLP,51.45,1019
UK,uptrend,Stacking,50.87,1019
UK,uptrend,XGBoost,43.93,1019
UK,uptrend,Transformer,38.73,1019
UK,uptrend,RandomForest,37.57,1019
UK,uptrend,LSTM,35.26,1019
US,downtrend,Stacking,58.59,1466
US,downtrend,CNN,56.9,1466
US,downtrend,MLP,54.55,1466
US,downtrend,LSTM,53.87,1466
US,downtrend,RandomForest,52.86,1466
US,downtrend,XGBoost,52.86,1466
US,downtrend,SVM,51.18,1466
US,downtrend,Transformer,48.15,1466
US,uptrend,RandomForest,80.0,1270
US,uptrend,LSTM,70.71,1270
US,uptrend,Stacking,45.0,1270
US,uptrend,XGBoost,43.57,1270
US,uptrend,MLP,30.71,1270
US,uptrend,SVM,26.43,1270
US,uptrend,CNN,19.29,1270
US,uptrend,Transformer,19.29,1270
