Market,Trend,Model,Strategy Return (%),B&H Return (%),Max DD (%),Final $,Long (%),Short (%),Turnover,Tie Warning
US,Overall,LSTM,26.46,27.75,-14.98,12646.24,98.0,2.0,3.0,
US,Uptrend,LSTM,18.32,14.6,-11.23,11831.72,,,,
US,Downtrend,LSTM,7.42,11.47,-10.51,10742.04,,,,
US,Overall,CNN,30.5,27.75,-14.06,13050.09,96.6,0.0,1.0,
US,Uptrend,CNN,17.19,14.6,-12.92,11718.55,,,,
US,Downtrend,CNN,11.47,11.47,-10.51,11147.41,,,,
US,Overall,MLP,30.5,27.75,-14.06,13050.09,96.6,0.0,1.0,
US,Uptrend,MLP,17.19,14.6,-12.92,11718.55,,,,
US,Downtrend,MLP,11.47,11.47,-10.51,11147.41,,,,
US,Overall,Transformer,30.5,27.75,-14.06,13050.09,96.6,0.0,1.0,
US,Uptrend,Transformer,17.19,14.6,-12.92,11718.55,,,,
US,Downtrend,Transformer,11.47,11.47,-10.51,11147.41,,,,
US,Overall,RandomForest,28.57,27.75,-14.06,12856.99,97.2,0.0,1.0,
US,Uptrend,RandomForest,15.45,14.6,-12.92,11545.15,,,,
US,Downtrend,RandomForest,11.47,11.47,-10.51,11147.41,,,,
US,Overall,SVM,-12.43,27.75,-23.04,8757.36,31.2,65.4,4.0,
US,Uptrend,SVM,-20.89,14.6,-23.28,7911.19,,,,
US,Downtrend,SVM,11.47,11.47,-10.51,11147.41,,,,
US,Overall,XGBoost,29.46,27.75,-14.06,12946.17,97.4,0.0,1.0,
US,Uptrend,XGBoost,16.25,14.6,-12.92,11625.23,,,,
US,Downtrend,XGBoost,11.47,11.47,-10.51,11147.41,,,,
UK,Overall,LSTM,31.89,14.2,-11.86,13189.36,86.9,13.1,17.0,
UK,Uptrend,LSTM,18.71,-0.55,-10.59,11870.91,,,,
UK,Downtrend,LSTM,14.84,14.84,-7.61,11483.8,,,,
UK,Overall,CNN,14.11,14.2,-10.12,11410.7,81.2,0.0,1.0,
UK,Uptrend,CNN,-0.54,-0.55,-12.31,9946.29,,,,
UK,Downtrend,CNN,14.84,14.84,-7.61,11483.8,,,,
UK,Overall,MLP,-3.6,14.2,-15.6,9639.77,66.2,15.0,4.0,
UK,Uptrend,MLP,-4.62,-0.55,-13.78,9538.23,,,,
UK,Downtrend,MLP,1.78,14.84,-8.96,10177.51,,,,
